"Player","Dealer","Action","Type"
"18","2","S","Hard"
"18","3","S","Hard"
"18","4","S","Hard"
"18","5","S","Hard"
"18","6","S","Hard"
"18","7","S","Hard"
"18","8","S","Hard"
"18","9","S","Hard"
"18","10","S","Hard"
"18","A","S","Hard"
"19","2","S","Hard"
"19","3","S","Hard"
"19","4","S","Hard"
"19","5","S","Hard"
"19","6","S","Hard"
"19","7","S","Hard"
"19","8","S","Hard"
"19","9","S","Hard"
"19","10","S","Hard"
"19","A","S","Hard"
"20","2","S","Hard"
"20","3","S","Hard"
"20","4","S","Hard"
"20","5","S","Hard"
"20","6","S","Hard"
"20","7","S","Hard"
"20","8","S","Hard"
"20","9","S","Hard"
"20","10","S","Hard"
"20","A","S","Hard"
"21","2","S","Hard"
"21","3","S","Hard"
"21","4","S","Hard"
"21","5","S","Hard"
"21","6","S","Hard"
"21","7","S","Hard"
"21","8","S","Hard"
"21","9","S","Hard"
"21","10","S","Hard"
"21","A","S","Hard"
"17","2","S","Hard"
"17","3","S","Hard"
"17","4","S","Hard"
"17","5","S","Hard"
"17","6","S","Hard"
"17","7","S","Hard"
"17","8","S","Hard"
"17","9","S","Hard"
"17","10","S","Hard"
"17","A","Us","Hard"
"16","2","S","Hard"
"16","3","S","Hard"
"16","4","S","Hard"
"16","5","S","Hard"
"16","6","S","Hard"
"16","7","H","Hard"
"16","8","H","Hard"
"16","9","Uh","Hard"
"16","10","Uh","Hard"
"16","A","Uh","Hard"
"15","2","S","Hard"
"15","3","S","Hard"
"15","4","S","Hard"
"15","5","S","Hard"
"15","6","S","Hard"
"15","7","H","Hard"
"15","8","H","Hard"
"15","9","H","Hard"
"15","10","Uh","Hard"
"15","A","Uh","Hard"
"13","2","S","Hard"
"13","3","S","Hard"
"13","4","S","Hard"
"13","5","S","Hard"
"13","6","S","Hard"
"13","7","H","Hard"
"13","8","H","Hard"
"13","9","H","Hard"
"13","10","H","Hard"
"13","A","H","Hard"
"14","2","S","Hard"
"14","3","S","Hard"
"14","4","S","Hard"
"14","5","S","Hard"
"14","6","S","Hard"
"14","7","H","Hard"
"14","8","H","Hard"
"14","9","H","Hard"
"14","10","H","Hard"
"14","A","H","Hard"
"12","2","H","Hard"
"12","3","H","Hard"
"12","4","S","Hard"
"12","5","S","Hard"
"12","6","S","Hard"
"12","7","H","Hard"
"12","8","H","Hard"
"12","9","H","Hard"
"12","10","H","Hard"
"12","A","H","Hard"
"11","2","Dh","Hard"
"11","3","Dh","Hard"
"11","4","Dh","Hard"
"11","5","Dh","Hard"
"11","6","Dh","Hard"
"11","7","Dh","Hard"
"11","8","Dh","Hard"
"11","9","Dh","Hard"
"11","10","Dh","Hard"
"11","A","Dh","Hard"
"10","2","Dh","Hard"
"10","3","Dh","Hard"
"10","4","Dh","Hard"
"10","5","Dh","Hard"
"10","6","Dh","Hard"
"10","7","Dh","Hard"
"10","8","Dh","Hard"
"10","9","Dh","Hard"
"10","10","H","Hard"
"10","A","H","Hard"
"9","2","H","Hard"
"9","3","Dh","Hard"
"9","4","Dh","Hard"
"9","5","Dh","Hard"
"9","6","Dh","Hard"
"9","7","H","Hard"
"9","8","H","Hard"
"9","9","H","Hard"
"9","10","H","Hard"
"9","A","H","Hard"
"5","2","H","Hard"
"5","3","H","Hard"
"5","4","H","Hard"
"5","5","H","Hard"
"5","6","H","Hard"
"5","7","H","Hard"
"5","8","H","Hard"
"5","9","H","Hard"
"5","10","H","Hard"
"5","A","H","Hard"
"6","2","H","Hard"
"6","3","H","Hard"
"6","4","H","Hard"
"6","5","H","Hard"
"6","6","H","Hard"
"6","7","H","Hard"
"6","8","H","Hard"
"6","9","H","Hard"
"6","10","H","Hard"
"6","A","H","Hard"
"7","2","H","Hard"
"7","3","H","Hard"
"7","4","H","Hard"
"7","5","H","Hard"
"7","6","H","Hard"
"7","7","H","Hard"
"7","8","H","Hard"
"7","9","H","Hard"
"7","10","H","Hard"
"7","A","H","Hard"
"8","2","H","Hard"
"8","3","H","Hard"
"8","4","H","Hard"
"8","5","H","Hard"
"8","6","H","Hard"
"8","7","H","Hard"
"8","8","H","Hard"
"8","9","H","Hard"
"8","10","H","Hard"
"8","A","H","Hard"
"A:9","2","S","Soft"
"A:9","3","S","Soft"
"A:9","4","S","Soft"
"A:9","5","S","Soft"
"A:9","6","S","Soft"
"A:9","7","S","Soft"
"A:9","8","S","Soft"
"A:9","9","S","Soft"
"A:9","10","S","Soft"
"A:9","A","S","Soft"
"A:8","2","S","Soft"
"A:8","3","S","Soft"
"A:8","4","S","Soft"
"A:8","5","S","Soft"
"A:8","6","Ds","Soft"
"A:8","7","S","Soft"
"A:8","8","S","Soft"
"A:8","9","S","Soft"
"A:8","10","S","Soft"
"A:8","A","S","Soft"
"A:7","2","Ds","Soft"
"A:7","3","Ds","Soft"
"A:7","4","Ds","Soft"
"A:7","5","Ds","Soft"
"A:7","6","Ds","Soft"
"A:7","7","S","Soft"
"A:7","8","S","Soft"
"A:7","9","H","Soft"
"A:7","10","H","Soft"
"A:7","A","H","Soft"
"A:6","2","H","Soft"
"A:6","3","Dh","Soft"
"A:6","4","Dh","Soft"
"A:6","5","Dh","Soft"
"A:6","6","Dh","Soft"
"A:6","7","H","Soft"
"A:6","8","H","Soft"
"A:6","9","H","Soft"
"A:6","10","H","Soft"
"A:6","A","H","Soft"
"A:4","2","H","Soft"
"A:4","3","H","Soft"
"A:4","4","Dh","Soft"
"A:4","5","Dh","Soft"
"A:4","6","Dh","Soft"
"A:4","7","H","Soft"
"A:4","8","H","Soft"
"A:4","9","H","Soft"
"A:4","10","H","Soft"
"A:4","A","H","Soft"
"A:5","2","H","Soft"
"A:5","3","H","Soft"
"A:5","4","Dh","Soft"
"A:5","5","Dh","Soft"
"A:5","6","Dh","Soft"
"A:5","7","H","Soft"
"A:5","8","H","Soft"
"A:5","9","H","Soft"
"A:5","10","H","Soft"
"A:5","A","H","Soft"
"A:2","2","H","Soft"
"A:2","3","H","Soft"
"A:2","4","H","Soft"
"A:2","5","Dh","Soft"
"A:2","6","Dh","Soft"
"A:2","7","H","Soft"
"A:2","8","H","Soft"
"A:2","9","H","Soft"
"A:2","10","H","Soft"
"A:2","A","H","Soft"
"A:3","2","H","Soft"
"A:3","3","H","Soft"
"A:3","4","H","Soft"
"A:3","5","Dh","Soft"
"A:3","6","Dh","Soft"
"A:3","7","H","Soft"
"A:3","8","H","Soft"
"A:3","9","H","Soft"
"A:3","10","H","Soft"
"A:3","A","H","Soft"
"A:A","2","SP","Pair"
"A:A","3","SP","Pair"
"A:A","4","SP","Pair"
"A:A","5","SP","Pair"
"A:A","6","SP","Pair"
"A:A","7","SP","Pair"
"A:A","8","SP","Pair"
"A:A","9","SP","Pair"
"A:A","10","SP","Pair"
"A:A","A","SP","Pair"
"10:10","2","S","Pair"
"10:10","3","S","Pair"
"10:10","4","S","Pair"
"10:10","5","S","Pair"
"10:10","6","S","Pair"
"10:10","7","S","Pair"
"10:10","8","S","Pair"
"10:10","9","S","Pair"
"10:10","10","S","Pair"
"10:10","A","S","Pair"
"9:9","2","SP","Pair"
"9:9","3","SP","Pair"
"9:9","4","SP","Pair"
"9:9","5","SP","Pair"
"9:9","6","SP","Pair"
"9:9","7","S","Pair"
"9:9","8","SP","Pair"
"9:9","9","SP","Pair"
"9:9","10","S","Pair"
"9:9","A","S","Pair"
"8:8","2","SP","Pair"
"8:8","3","SP","Pair"
"8:8","4","SP","Pair"
"8:8","5","SP","Pair"
"8:8","6","SP","Pair"
"8:8","7","SP","Pair"
"8:8","8","SP","Pair"
"8:8","9","SP","Pair"
"8:8","10","SP","Pair"
"8:8","A","Usp","Pair"
"7:7","2","SP","Pair"
"7:7","3","SP","Pair"
"7:7","4","SP","Pair"
"7:7","5","SP","Pair"
"7:7","6","SP","Pair"
"7:7","7","SP","Pair"
"7:7","8","H","Pair"
"7:7","9","H","Pair"
"7:7","10","H","Pair"
"7:7","A","H","Pair"
"6:6","2","SP","Pair"
"6:6","3","SP","Pair"
"6:6","4","SP","Pair"
"6:6","5","SP","Pair"
"6:6","6","SP","Pair"
"6:6","7","H","Pair"
"6:6","8","H","Pair"
"6:6","9","H","Pair"
