"system","name","value"
"Hi-Lo","2",1
"Hi-Lo","3",1
"Hi-Lo","4",1
"Hi-Lo","5",1
"Hi-Lo","6",1
"Hi-Lo","7",0
"Hi-Lo","8",0
"Hi-Lo","9",0
"Hi-Lo","10",-1
"Hi-Lo","A",-1
"Hi-OptI","2",0
"Hi-OptI","3",1
"Hi-OptI","4",1
"Hi-OptI","5",1
"Hi-OptI","6",1
"Hi-OptI","7",0
"Hi-OptI","8",0
"Hi-OptI","9",0
"Hi-OptI","10",-1
"Hi-OptI","A",0
"Hi-OptII","2",1
"Hi-OptII","3",1
"Hi-OptII","4",2
"Hi-OptII","5",2
"Hi-OptII","6",1
"Hi-OptII","7",1
"Hi-OptII","8",0
"Hi-OptII","9",0
"Hi-OptII","10",-2
"Hi-OptII","A",0
"KO","2",1
"KO","3",1
"KO","4",1
"KO","5",1
"KO","6",1
"KO","7",1
"KO","8",0
"KO","9",0
"KO","10",-1
"KO","A",-1
"OmegaII","2",1
"OmegaII","3",1
"OmegaII","4",2
"OmegaII","5",2
"OmegaII","6",2
"OmegaII","7",1
"OmegaII","8",0
"OmegaII","9",-1
"OmegaII","10",-2
"OmegaII","A",0
"Halves","2",0.5
"Halves","3",1
"Halves","4",1
"Halves","5",1.5
"Halves","6",1
"Halves","7",0.5
"Halves","8",0
"Halves","9",-0.5
"Halves","10",-1
"Halves","A",-1
"ZenCount","2",1
"ZenCount","3",1
"ZenCount","4",2
"ZenCount","5",2
"ZenCount","6",2
"ZenCount","7",1
"ZenCount","8",0
"ZenCount","9",0
"ZenCount","10",-2
"ZenCount","A",-1
"10Count","2",1
"10Count","3",1
"10Count","4",1
"10Count","5",1
"10Count","6",1
"10Count","7",1
"10Count","8",1
"10Count","9",1
"10Count","10",-2
"10Count","A",1
